Activity_Period,RegionName,Passenger_Count
201111,Europe,152401
200707,Europe,219704
201904,Central America,29186
201207,Europe,270064
201303,Central America,11130
201607,Europe,378798
200907,Asia,340659
200709,US,2215029
201110,Asia,326676
201206,Australia / Oceania,31271
200610,Asia,333033
201411,Central America,10587
201007,Canada,158661
201504,Asia,347335
201901,Europe,254505
200712,Asia,357218
200905,Europe,204141
201011,Canada,83932
201704,Central America,22149
200605,Asia,344003
201012,Central America,11781
201506,Canada,166205
201604,US,3244410
201609,Central America,18673
201212,Asia,341081
200602,Mexico,55571
201812,Mexico,131871
200903,Australia / Oceania,36953
201808,Central America,33553
201407,Middle East,18670
201108,South America,5157
200608,Asia,355805
201407,Mexico,110670
201812,Middle East,39134
201403,Australia / Oceania,36423
201705,Europe,319231
201405,Asia,372286
201312,Asia,348288
201612,Australia / Oceania,64337
201306,Canada,126191
201001,Central America,10245
200810,Central America,7986
201002,US,1953459
200702,Europe,136041
201412,Asia,357022
201805,US,3818359
200507,US,2425902
201308,Mexico,73410
201707,Australia / Oceania,55120
201102,Canada,81422
201507,Australia / Oceania,33700
200612,Canada,95360
200812,Europe,165748
201308,Middle East,19995
201101,US,2188831
201401,Middle East,20431
201208,Europe,273019
201703,Australia / Oceania,51530
200704,Asia,333123
200910,Central America,7009
201006,Australia / Oceania,37213
201809,Europe,409381
200911,Asia,293803
201401,Mexico,81338
200708,Central America,14979
200607,Mexico,63937
201802,Asia,397734
201811,Central America,31418
201702,Asia,361671
200512,Europe,151400
201209,Middle East,16965
201203,Canada,83424
201301,Canada,74165
200511,Europe,151059
201408,Asia,391380
201502,Australia / Oceania,34391
201903,Canada,127183
201908,Australia / Oceania,76309
201608,Central America,21213
201610,Europe,307610
201711,Central America,24899
201804,Central America,30675
200802,Canada,92515
201209,Mexico,49906
201510,US,3422245
200908,Middle East,14237
200908,Mexico,52400
201104,Europe,201777
201112,Central America,11327
201810,Asia,450504
200804,Canada,93620
200806,Mexico,60876
201209,South America,5016
201901,Australia / Oceania,88354
201304,Canada,85225
201205,Canada,116525
200905,Australia / Oceania,36090
200805,US,2516561
201611,Canada,88281
